34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
57, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, >50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Germany, <=50K
40, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,60, France, <=50K
53, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
27, Private, Assoc-voc, Never-married, Other-service, Other-relative, Black, Female,0,0,30, France, <=50K
32, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Female,3988,0,82, England, >50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,70, Yugoslavia, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Private, 12th, Never-married, Other-service, Husband, White, Female,0,0,24, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Mexico, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, Puerto-Rico, >50K
44, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,44, Canada, <=50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1902,50, Ecuador, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Trinadad&Tobago, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Other, Female,99999,0,50, Vietnam, >50K
18, Private, 12th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, Columbia, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,54, Yugoslavia, >50K
66, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,80, Peru, >50K
48, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Black, Male,0,0,40, Yugoslavia, >50K
26, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, El-Salvador, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
29, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, Columbia, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,2001,40, France, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,35, El-Salvador, <=50K
63, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,10524,0,40, Guatemala, >50K
37, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,40, Canada, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,40, Canada, >50K
51, State-gov, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,1977,60, Yugoslavia, >50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, United-States, >50K
