34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
58, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Ireland, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, England, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Husband, Other, Male,0,0,60, El-Salvador, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, United-States, >50K
28, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,30, El-Salvador, <=50K
33, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Female,7393,0,80, Ecuador, >50K
31, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,70, Yugoslavia, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,24, South, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Italy, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
44, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,43, Canada, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,50, Dominican-Republic, <=50K
24, Private, Some-college, Never-married, Craft-repair, Husband, Black, Female,0,0,40, Portugal, <=50K
34, Private, Doctorate, Married-civ-spouse, Sales, Own-child, Black, Female,99999,0,50, Vietnam, >50K
18, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,15, Columbia, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,7687,0,54, Yugoslavia, >50K
64, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,7409,0,80, Japan, >50K
48, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,45, Japan, <=50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, China, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1979,40, El-Salvador, >50K
19, Private, Bachelors, Never-married, Protective-serv, Own-child, Black, Male,0,0,35, Dominican-Republic, <=50K
63, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,9861,0,40, Germany, >50K
37, Private, HS-grad, Widowed, Adm-clerical, Husband, Black, Female,0,0,40, Canada, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
52, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1977,60, Yugoslavia, >50K
30, Private, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, Trinadad&Tobago, <=50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Scotland, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,30, El-Salvador, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, Laos, >50K
