59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,38, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,3373,0,45, United-States, >50K
34, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Vietnam, >50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
38, Local-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
59, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,65, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Other-relative, White, Male,0,0,40, Germany, <=50K
46, Self-emp-not-inc, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,10520,0,50, United-States, >50K
57, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
26, Federal-gov, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
27, Self-emp-not-inc, Some-college, Divorced, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
67, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, >50K
36, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,35, El-Salvador, <=50K
39, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,0,60, Greece, <=50K
53, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 9th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,7298,0,40, United-States, >50K
36, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,95, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
41, State-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,1657,45, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
60, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
65, Private, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,99, United-States, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Federal-gov, Masters, Separated, Prof-specialty, Not-in-family, Black, Female,0,0,30, United-States, <=50K
36, Private, Bachelors, Widowed, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
49, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,16, Vietnam, <=50K
79, Local-gov, 5th-6th, Divorced, Adm-clerical, Not-in-family, White, Female,4064,0,25, United-States, >50K
77, Self-emp-not-inc, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,10, United-States, <=50K
34, Private, Bachelors, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
43, Private, 5th-6th, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
44, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,45, United-States, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, >50K
39, Private, Masters, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,8, Yugoslavia, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
38, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,16, United-States, <=50K
47, Private, Assoc-acdm, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7298,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,12, Puerto-Rico, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40,, <=50K
37, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
26, Federal-gov, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, Peru, <=50K
48, Private, Masters, Divorced, Sales, Husband, White, Male,0,0,30, United-States, <=50K
42, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,54, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
59, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Masters, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
69, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,3352,0,12, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Female,0,0,79, Honduras, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, Italy, <=50K
37, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
52, Self-emp-not-inc, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
25, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
