59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,38, United-States, <=50K
59, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4386,0,45, United-States, >50K
34, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,60, Vietnam, >50K
48, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
37, Local-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1902,40, United-States, >50K
58, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,65, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,9022,0,50, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
27, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,12, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Peru, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
