58, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,37, Cuba, <=50K
58, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Iran, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, England, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, El-Salvador, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3901,0,45, United-States, >50K
33, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, <=50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
32, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Wife, White, Male,0,0,60, Yugoslavia, <=50K
47, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, Dominican-Republic, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
54, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1948,40, Taiwan, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,60, Outlying-US(Guam-USVI-etc), >50K
21, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Canada, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Cuba, <=50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Poland, <=50K
20, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,40, Vietnam, <=50K
27, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,10520,0,50, Columbia, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Yugoslavia, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Jamaica, >50K
43, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Ecuador, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Jamaica, >50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,12, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, El-Salvador, <=50K
31, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,38, Dominican-Republic, <=50K
66, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, France, <=50K
34, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Canada, >50K
51, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
45, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Female,5261,0,40, South, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,88, El-Salvador, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,40, Guatemala, >50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Guatemala, >50K
39, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, Ecuador, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,1902,45, Dominican-Republic, <=50K
22, Self-emp-inc, Some-college, Never-married, Sales, Other-relative, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
29, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Japan, <=50K
38, Private, Bachelors, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,0,0,40, Japan, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, France, <=50K
59, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
56, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Poland, >50K
62, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,99, England, >50K
39, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Hong, <=50K
25, Local-gov, HS-grad, Never-married, Other-service, Husband, Black, Male,0,0,30, Nicaragua, <=50K
34, Self-emp-inc, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,50, Jamaica, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,25, Honduras, <=50K
48, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,16, Yugoslavia, <=50K
82, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,5226,0,30, Cuba, >50K
74, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,10, Dominican-Republic, <=50K
33, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, India, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Cuba, >50K
42, Self-emp-inc, 11th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, Italy, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Jamaica, >50K
31, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Taiwan, >50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,16, Thailand, <=50K
42, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,15024,0,43, Ecuador, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Canada, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,7, Yugoslavia, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, Thailand, >50K
26, Private, Masters, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, Poland, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
