58, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Iran, >50K
39, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Female,0,0,40, England, <=50K
40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,6566,0,50, Ecuador, >50K
28, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,2565,0,45, Trinadad&Tobago, >50K
33, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Ecuador, <=50K
34, Private, Masters, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, Ecuador, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, >50K
47, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,45, Dominican-Republic, <=50K
36, Local-gov, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, Scotland, <=50K
56, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, South, >50K
57, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,65, Nicaragua, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,40, Cambodia, <=50K
45, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, Cuba, <=50K
22, Private, Some-college, Never-married, Craft-repair, Other-relative, Black, Female,0,0,40, Poland, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,40, Vietnam, <=50K
27, Self-emp-inc, Bachelors, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,10520,0,50, Columbia, >50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, >50K
43, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, >50K
25, Federal-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, Italy, <=50K
27, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,13, Trinadad&Tobago, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, El-Salvador, <=50K
31, Private, Bachelors, Married-civ-spouse, Protective-serv, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
66, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,38, France, <=50K
34, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,36, Canada, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Cambodia, <=50K
51, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
17, Private, 12th, Never-married, Other-service, Own-child, Black, Female,0,0,20, Taiwan, <=50K
45, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,4386,0,40, Puerto-Rico, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,92, Ecuador, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,40, Greece, >50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,50, Guatemala, <=50K
39, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,1621,45, Dominican-Republic, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, Nicaragua, <=50K
29, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, Jamaica, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Jamaica, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
59, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, >50K
56, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Poland, >50K
64, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,99, England, <=50K
39, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Honduras, >50K
26, Federal-gov, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Mexico, <=50K
34, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, Black, Male,0,0,50, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,25, Haiti, <=50K
48, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,16, Yugoslavia, <=50K
79, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,1270,0,30, Cuba, <=50K
74, Self-emp-not-inc, Bachelors, Widowed, Other-service, Not-in-family, Black, Female,0,0,12, Dominican-Republic, <=50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Hungary, <=50K
18, Private, Some-college, Never-married, Sales, Other-relative, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, Cuba, <=50K
42, Private, 11th, Divorced, Tech-support, Not-in-family, Other, Female,0,0,40, Italy, <=50K
23, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
31, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, South, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,16, Thailand, <=50K
42, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Other, Female,15024,0,45, Ecuador, >50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
37, Private, Masters, Divorced, Other-service, Not-in-family, Black, Female,0,0,8, Yugoslavia, <=50K
45, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Taiwan, >50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, Philippines, <=50K
36, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
25, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
20, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,16, Italy, <=50K
45, Private, 7th-8th, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,40, Hungary, <=50K
36, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, England, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,30, France, <=50K
