59, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,38, Puerto-Rico, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7459,0,50, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,45, United-States, >50K
34, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,60, Yugoslavia, >50K
48, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,45, Trinadad&Tobago, <=50K
37, Local-gov, Masters, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
57, Self-emp-inc, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
58, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,65, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
46, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,10520,0,50, Peru, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
26, Federal-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
27, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,12, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,38, Puerto-Rico, <=50K
67, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,35, Ecuador, <=50K
39, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,60, Ecuador, >50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Vietnam, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,5780,0,40, United-States, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,93, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
40, Without-pay, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,1670,45, United-States, <=50K
22, Private, Masters, Never-married, Sales, Other-relative, White, Male,0,0,50, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
64, Private, 7th-8th, Divorced, Sales, Unmarried, White, Male,0,0,99, United-States, <=50K
40, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Local-gov, Masters, Separated, Other-service, Not-in-family, Black, Female,0,0,30, United-States, <=50K
35, Private, Bachelors, Widowed, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,25, United-States, <=50K
49, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,16, Yugoslavia, <=50K
83, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,2848,0,25, Philippines, >50K
77, Self-emp-not-inc, HS-grad, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,10, United-States, <=50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, South, <=50K
43, Self-emp-inc, 12th, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,16, United-States, <=50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,15024,0,45, United-States, >50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Germany, >50K
38, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,8, Yugoslavia, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,15, United-States, <=50K
37, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,16, United-States, <=50K
46, Private, 9th, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,30, United-States, <=50K
38, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,7298,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,12, Nicaragua, <=50K
42, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40,, <=50K
37, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, Mexico, <=50K
48, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, United-States, >50K
31, Private, Some-college, Widowed, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,54, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Masters, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
69, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2837,0,12, Poland, <=50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,80, England, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
