60, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
60, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K
43, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, Japan, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,3541,0,48, United-States, >50K
34, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Jamaica, >50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Iran, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,60, Yugoslavia, <=50K
49, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,45, India, <=50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0,1902,40, United-States, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Husband, White, Female,0,0,65, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Columbia, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, Hong, <=50K
22, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,9214,0,50, France, >50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, >50K
45, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Vietnam, >50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Iran, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,15, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, El-Salvador, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,45, Mexico, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Hungary, <=50K
68, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
36, Private, HS-grad, Separated, Adm-clerical, Husband, White, Female,0,0,35, China, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,60, Columbia, >50K
54, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,5212,0,40, United-States, <=50K
37, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,91, Jamaica, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,40, United-States, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
42, Without-pay, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Italy, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,1643,45, Honduras, <=50K
22, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
