59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,37, Germany, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, India, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, Hong, >50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,3901,0,45, United-States, >50K
34, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Honduras, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, Haiti, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,60, Yugoslavia, >50K
48, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Female,0,0,45, Greece, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,40, United-States, >50K
58, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Husband, Other, Female,0,0,65, United-States, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, China, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Germany, >50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,10354,0,50, Ecuador, >50K
