59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Germany, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, France, >50K
28, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,3201,0,46, United-States, >50K
33, Private, 5th-6th, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, England, >50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, >50K
48, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,45, Ecuador, <=50K
37, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1902,40, United-States, >50K
58, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Husband, Black, Female,0,0,65, Puerto-Rico, >50K
22, Private, Some-college, Never-married, Other-service, Other-relative, White, Female,0,0,40, Canada, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Dominican-Republic, >50K
22, Private, Some-college, Never-married, Craft-repair, Husband, Other, Female,0,0,40, Trinadad&Tobago, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Female,0,0,40, Vietnam, <=50K
27, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,13062,0,50, Columbia, >50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
44, Private, Assoc-acdm, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, >50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Peru, <=50K
27, Private, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,14, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, <=50K
36, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,45, France, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,40, Ecuador, <=50K
66, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Guatemala, >50K
35, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,35, Canada, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,60, Canada, <=50K
52, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,20, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,5313,0,40, United-States, >50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,97, England, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,40, Honduras, >50K
55, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Hong, <=50K
39, Without-pay, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, England, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1637,45, Ecuador, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,50, Scotland, <=50K
30, Local-gov, Assoc-voc, Married-civ-spouse, Armed-Forces, Husband, Other, Male,0,0,40, Philippines, >50K
39, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Philippines, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
59, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, >50K
57, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
64, Private, 5th-6th, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,99, Germany, <=50K
40, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Iran, >50K
26, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, Puerto-Rico, <=50K
35, Self-emp-not-inc, Assoc-voc, Separated, Other-service, Unmarried, Other, Male,0,0,50, Peru, <=50K
42, State-gov, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,25, India, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,20, Yugoslavia, <=50K
80, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,2875,0,25, Dominican-Republic, >50K
77, Self-emp-not-inc, Bachelors, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,10, El-Salvador, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Italy, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,40, Scotland, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,60, Dominican-Republic, <=50K
43, Private, 11th, Never-married, Tech-support, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
31, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,20, United-States, <=50K
43, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,48, El-Salvador, >50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,8, Yugoslavia, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, Trinadad&Tobago, <=50K
37, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Hong, <=50K
26, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,18, Outlying-US(Guam-USVI-etc), <=50K
45, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Jamaica, <=50K
