60, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
60, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, England, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,7687,0,50, El-Salvador, >50K
28, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,2934,0,45, Trinadad&Tobago, >50K
35, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,60, Yugoslavia, >50K
49, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
39, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
58, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,40, South, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,67, Nicaragua, >50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Cambodia, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, Cuba, <=50K
23, Private, Some-college, Never-married, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,13848,0,50, Columbia, >50K
57, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Yugoslavia, >50K
46, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, <=50K
27, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,47, Italy, >50K
28, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,15, Trinadad&Tobago, <=50K
63, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,45, El-Salvador, <=50K
