33, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
20, Private, 9th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
31, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,0,54, United-States, <=50K
48, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Local-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,25, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
29, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,7687,0,45, England, >50K
43, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, >50K
65, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,7298,0,40, United-States, >50K
44, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Federal-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Female,0,0,30, Mexico, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
29, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
