33, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, Peru, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
20, Private, 5th-6th, Never-married, Craft-repair, Own-child, White, Female,0,0,20, United-States, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,15024,0,60, United-States, >50K
31, Private, Assoc-voc, Divorced, Exec-managerial, Wife, White, Male,0,0,54, Vietnam, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
22, Private, Preschool, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,7687,0,45, England, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Philippines, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Jamaica, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,52, United-States, <=50K
64, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,5631,0,40, United-States, >50K
44, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,30, Ireland, <=50K
46, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,40, Portugal, <=50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, El-Salvador, >50K
39, State-gov, Some-college, Never-married, Adm-clerical, Wife, Black, Female,1039,0,30, Vietnam, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,54, United-States, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,54, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
49, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1902,40, United-States, >50K
57, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Taiwan, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
35, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,42, United-States, <=50K
27, Private, Bachelors, Never-married, Protective-serv, Own-child, White, Male,0,0,54, United-States, <=50K
32, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
43, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,40, United-States, >50K
47, Federal-gov, 7th-8th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
20, Private, 12th, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,3304,0,45, United-States, <=50K
71, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, Vietnam, >50K
19, Private, 11th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,30, Nicaragua, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
28, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
