29, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Thailand, >50K
56, Local-gov, HS-grad, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, <=50K
40, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,48, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Vietnam, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
47, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,42, United-States, <=50K
42, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,7687,0,37, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, Ecuador, >50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, Puerto-Rico, <=50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,49, United-States, <=50K
62, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,89, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,38, Italy, >50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
53, Local-gov, Bachelors, Widowed, Exec-managerial, Husband, White, Male,5013,0,40, Vietnam, >50K
24, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, Portugal, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, United-States, <=50K
70, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,1544,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1894,45, Italy, >50K
31, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,48, United-States, >50K
43, Self-emp-inc, Bachelors, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,50, El-Salvador, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,54, Ecuador, >50K
21, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Vietnam, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
