29, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, India, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Honduras, <=50K
40, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, Honduras, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Haiti, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,10, Yugoslavia, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, Greece, >50K
20, Local-gov, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,15, United-States, <=50K
41, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,42, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,7375,0,35, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,30, Canada, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,65, Germany, <=50K
58, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,49, United-States, <=50K
62, Self-emp-not-inc, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,89, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,36, Ecuador, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, >50K
23, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,4560,0,40, Yugoslavia, <=50K
24, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,32, Guatemala, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,25, United-States, <=50K
68, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,2408,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, Dominican-Republic, >50K
31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Honduras, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, Jamaica, <=50K
43, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,50, Canada, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,54, China, >50K
21, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
55, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, Holand-Netherlands, >50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Mexico, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,0,54, Greece, <=50K
32, State-gov, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,10, United-States, <=50K
22, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,38, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,30, United-States, >50K
34, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
51, Private, 9th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
