29, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Jamaica, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, Germany, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, England, <=50K
40, Private, HS-grad, Divorced, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
54, Private, 5th-6th, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,50, England, >50K
51, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,48, El-Salvador, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,10, Yugoslavia, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Ecuador, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,15, United-States, <=50K
41, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,25, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,7298,0,35, Poland, >50K
36, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,30, Canada, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,65, Dominican-Republic, <=50K
58, Private, Some-college, Divorced, Craft-repair, Husband, Other, Female,0,0,48, Taiwan, <=50K
63, Self-emp-inc, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Female,0,0,92, Vietnam, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,36, Columbia, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
53, Private, Bachelors, Separated, Exec-managerial, Husband, Black, Male,4838,0,40, Yugoslavia, <=50K
24, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,35, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,25, Mexico, <=50K
70, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,2611,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, Columbia, >50K
31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, France, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,40, Ecuador, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,48, Guatemala, <=50K
43, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,54, Canada, >50K
21, State-gov, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,50, England, >50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Holand-Netherlands, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Honduras, <=50K
