50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,65, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,29, United-States, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,74, United-States, >50K
69, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,9138,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States, <=50K
49, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,1977,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,29, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1863,50, United-States, >50K
65, Self-emp-not-inc, Bachelors, Separated, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
49, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,50, England, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
64, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, State-gov, 12th, Never-married, Other-service, Own-child, White, Male,0,0,8, Mexico, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
25, Private, 9th, Never-married, Prof-specialty, Own-child, White, Female,0,0,28, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,15, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7504,0,10, United-States, >50K
24, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, Germany, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Guatemala, <=50K
56, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,35, United-States, <=50K
50, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,61, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2775,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,47, United-States, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,54, United-States, >50K
20, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,5217,0,40, United-States, >50K
59, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,1884,20, United-States, <=50K
53, Federal-gov, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
29, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
25, Private, 9th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,29, Mexico, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
64, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
58, Self-emp-inc, 10th, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
59, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,48, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
26, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female,0,0,46, United-States, <=50K
60, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, 7th-8th, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, 11th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,35, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
30, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, 9th, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Haiti, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Puerto-Rico, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,42, United-States, >50K
41, Self-emp-inc, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,15, United-States, <=50K
36, Private, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, Nicaragua, >50K
