49, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,64, United-States, >50K
35, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, >50K
42, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,29, United-States, >50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,73, United-States, >50K
69, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,10564,0,50, United-States, >50K
27, Private, Masters, Never-married, Exec-managerial, Other-relative, White, Female,0,0,45, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,1976,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Male,0,0,29, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1846,50, United-States, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, England, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
63, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,8, Philippines, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,25, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,15, United-States, <=50K
34, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,7687,0,10, United-States, >50K
24, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, Germany, <=50K
