51, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Dominican-Republic, >50K
36, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,60, Iran, >50K
44, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40, England, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,29, El-Salvador, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,75, Trinadad&Tobago, >50K
71, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Male,11688,0,50, El-Salvador, >50K
27, Private, HS-grad, Divorced, Exec-managerial, Own-child, Other, Female,0,0,45, Ecuador, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1976,40, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
36, Private, HS-grad, Separated, Craft-repair, Own-child, Black, Male,0,0,40, Scotland, <=50K
26, Private, 5th-6th, Never-married, Other-service, Husband, White, Female,0,0,29, Scotland, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1744,50, Iran, <=50K
65, Self-emp-not-inc, HS-grad, Married-spouse-absent, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
49, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,50, Canada, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Cuba, <=50K
64, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
19, Self-emp-not-inc, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,44, Yugoslavia, <=50K
25, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,29, Jamaica, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,15, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
34, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, Italy, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, China, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,40, El-Salvador, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Dominican-Republic, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,7687,0,10, Germany, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, Canada, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,15, Canada, <=50K
57, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
32, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Taiwan, <=50K
51, Private, Some-college, Divorced, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,0,0,65, Puerto-Rico, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,2426,0,40, El-Salvador, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
37, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, Nicaragua, >50K
20, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,35, Japan, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Jamaica, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,5178,0,40, France, >50K
60, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Laos, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, Black, Male,0,1814,25, Philippines, <=50K
