51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Dominican-Republic, >50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, Iran, >50K
43, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, England, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,29, El-Salvador, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,75, Trinadad&Tobago, >50K
70, Private, 12th, Married-civ-spouse, Protective-serv, Husband, Black, Female,13766,0,50, El-Salvador, >50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Other, Female,0,0,45, Ecuador, <=50K
49, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1977,40, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
26, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,29, Scotland, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1726,50, India, >50K
66, Self-emp-not-inc, Bachelors, Married-spouse-absent, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
50, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,50, Cambodia, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Cuba, <=50K
64, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
19, Self-emp-not-inc, 9th, Never-married, Other-service, Own-child, White, Male,0,0,8, Columbia, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,43, Yugoslavia, >50K
25, Private, Assoc-acdm, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,29, Jamaica, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,15, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
34, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, Italy, <=50K
55, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, China, <=50K
