50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,65, United-States, >50K
35, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Masters, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,29, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,80, United-States, >50K
69, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Female,7687,0,50, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,45, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,1977,40, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 1st-4th, Never-married, Other-service, Husband, White, Female,0,0,29, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1731,50, United-States, >50K
64, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Germany, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
63, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, South, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,44, United-States, >50K
25, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Other, Female,0,0,29, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,15, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
54, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
