50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
35, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,29, United-States, >50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,74, United-States, >50K
70, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,10520,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,1977,40, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Scotland, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,29, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1838,50, United-States, <=50K
64, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Puerto-Rico, <=50K
64, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Mexico, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Never-married, Other-service, Own-child, Other, Male,0,0,25, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,15, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Portugal, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,7687,0,10, United-States, >50K
24, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,14, Germany, <=50K
57, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
50, Local-gov, Some-college, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,61, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,2536,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, Portugal, <=50K
54, Self-emp-not-inc, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,51, United-States, >50K
20, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,34, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,5216,0,40, United-States, >50K
59, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,1740,20, United-States, <=50K
53, Federal-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
29, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
25, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,26, Mexico, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,29, United-States, <=50K
64, Self-emp-inc, Bachelors, Married-spouse-absent, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Portugal, >50K
58, Self-emp-not-inc, 10th, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
44, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Germany, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
43, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
26, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,47, United-States, <=50K
60, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,23, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Male,0,0,34, United-States, <=50K
35, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,40, Puerto-Rico, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,35, Trinadad&Tobago, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Local-gov, Assoc-acdm, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Greece, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,34, Poland, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,13, United-States, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
