51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,65, Greece, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, India, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,29, Hong, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,80, United-States, >50K
71, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,10520,0,50, Hong, >50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, Holand-Netherlands, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,1977,40, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Guatemala, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Machine-op-inspct, Husband, White, Male,0,0,32, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1843,50, United-States, >50K
65, Self-emp-not-inc, HS-grad, Separated, Tech-support, Husband, Black, Female,0,0,40, United-States, >50K
50, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,50, China, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Germany, <=50K
64, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,10, El-Salvador, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Vietnam, >50K
25, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,29, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,15, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, >50K
34, Private, HS-grad, Divorced, Exec-managerial, Other-relative, Other, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, El-Salvador, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Hungary, >50K
44, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Guatemala, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,11, Laos, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,50, China, <=50K
