50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Ecuador, >50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, Laos, >50K
43, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Germany, <=50K
24, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,29, France, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,75, United-States, >50K
70, Private, 12th, Married-civ-spouse, Sales, Husband, Black, Female,9816,0,50, France, >50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,45, England, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1977,40, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,29, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1842,50, Laos, <=50K
65, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Portugal, <=50K
49, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Canada, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Ecuador, <=50K
64, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Trinadad&Tobago, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Vietnam, <=50K
19, State-gov, 12th, Never-married, Other-service, Own-child, White, Male,0,0,8, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, Yugoslavia, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,26, Outlying-US(Guam-USVI-etc), <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, Black, Male,0,0,15, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, England, <=50K
33, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,40, France, >50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Other, Male,0,0,50, El-Salvador, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female,7687,0,10, Haiti, >50K
