51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, Italy, >50K
43, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, France, <=50K
24, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,29, England, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,73, United-States, >50K
71, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Black, Female,10520,0,50, England, >50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,45, El-Salvador, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1977,40, Yugoslavia, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, Ecuador, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Trinadad&Tobago, <=50K
26, Private, 5th-6th, Never-married, Other-service, Husband, White, Female,0,0,29, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1773,50, Jamaica, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
49, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Canada, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Dominican-Republic, <=50K
64, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Vietnam, <=50K
19, Self-emp-not-inc, 12th, Never-married, Other-service, Own-child, White, Male,0,0,8, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, Mexico, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, Black, Male,0,0,15, Yugoslavia, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
33, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,40, Laos, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,40, England, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Ecuador, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female,7687,0,10, Guatemala, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, Canada, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,15, Canada, >50K
57, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
32, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Other, Male,0,0,35, United-States, <=50K
51, Private, Masters, Divorced, Transport-moving, Unmarried, Amer-Indian-Eskimo, Female,0,0,61, Thailand, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,2552,0,40, England, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Haiti, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Holand-Netherlands, <=50K
37, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, Philippines, >50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Other, Male,0,0,35, Mexico, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, Mexico, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,5241,0,40, Greece, >50K
59, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
19, Private, 12th, Married-civ-spouse, Other-service, Own-child, Other, Male,0,1740,24, Scotland, <=50K
53, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, France, >50K
29, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, India, <=50K
45, Local-gov, HS-grad, Separated, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
29, Private, Bachelors, Separated, Machine-op-inspct, Husband, Other, Male,0,0,50, Mexico, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Hong, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,29, Dominican-Republic, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,29, El-Salvador, <=50K
64, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,46, Iran, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Poland, >50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
58, Self-emp-not-inc, 10th, Widowed, Sales, Not-in-family, Other, Female,0,0,40, Laos, <=50K
40, Private, Bachelors, Divorced, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
45, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, El-Salvador, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
