27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
55, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,1887,38, United-States, <=50K
50, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4364,0,40, United-States, >50K
34, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
71, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,15337,0,35, Iran, >50K
25, Self-emp-not-inc, Some-college, Married-spouse-absent, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,3927,0,50, United-States, >50K
33, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,99999,0,50, United-States, >50K
28, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,56, United-States, <=50K
42, Private, HS-grad, Divorced, Farming-fishing, Own-child, White, Female,0,0,70, United-States, <=50K
35, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Portugal, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,0,0,40, Greece, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,16, Honduras, >50K
47, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,15421,0,25, United-States, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, United-States, <=50K
77, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,24, United-States, <=50K
60, State-gov, HS-grad, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,1854,60, United-States, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,35, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,60, United-States, >50K
25, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, United-States, >50K
27, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Male,0,0,48, United-States, <=50K
59, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,45, United-States, >50K
22, Local-gov, HS-grad, Never-married, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Separated, Prof-specialty, Wife, White, Male,0,0,35, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
22, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
