26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
52, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, White, Female,0,1887,35, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,6476,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Wife, Black, Female,0,0,40, Vietnam, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
54, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
71, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,27687,0,35, Mexico, >50K
24, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,4850,0,50, United-States, >50K
30, Private, Bachelors, Married-spouse-absent, Exec-managerial, Husband, White, Male,99999,0,50, United-States, >50K
27, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,54, United-States, <=50K
41, Self-emp-inc, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,70, United-States, >50K
34, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
25, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Female,0,0,40, Guatemala, <=50K
67, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, Hungary, >50K
46, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
37, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,27726,0,26, United-States, <=50K
47, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,15, United-States, <=50K
77, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
60, State-gov, HS-grad, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
32, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,1887,60, United-States, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,56, United-States, >50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, United-States, >50K
26, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Male,0,0,48, United-States, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, >50K
22, Local-gov, HS-grad, Never-married, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
20, Private, 11th, Separated, Prof-specialty, Wife, White, Male,0,0,35, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, Vietnam, <=50K
22, Private, Assoc-acdm, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Unmarried, Black, Female,0,0,50, United-States, >50K
61, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,38, United-States, <=50K
35, Private, Some-college, Married-spouse-absent, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Outlying-US(Guam-USVI-etc), <=50K
34, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,1860,35, Yugoslavia, >50K
21, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, >50K
55, Private, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,0,1595,40, United-States, <=50K
30, Private, HS-grad, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
31, Federal-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,29, United-States, <=50K
46, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
56, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Other-relative, White, Female,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Never-married, Farming-fishing, Own-child, White, Female,0,0,10, United-States, <=50K
42, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,50, United-States, <=50K
57, Private, Bachelors, Widowed, Tech-support, Not-in-family, Black, Female,0,0,25, United-States, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,42, United-States, >50K
32, Local-gov, Assoc-acdm, Divorced, Tech-support, Unmarried, Other, Female,0,1503,45, Mexico, <=50K
36, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1977,29, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,48, Mexico, <=50K
32, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,8504,0,45, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
48, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,70, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-spouse-absent, Prof-specialty, Own-child, White, Male,0,0,75, United-States, <=50K
61, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,70, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
42, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,25, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
30, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,54, United-States, >50K
