27, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,1902,38, United-States, <=50K
50, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4410,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Wife, Black, Male,0,0,40, Vietnam, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
71, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,27751,0,35, Dominican-Republic, >50K
24, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Scotland, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Doctorate, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Mexico, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Sales, Not-in-family, White, Male,3461,0,50, United-States, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
28, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,54, United-States, <=50K
42, Self-emp-inc, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,70, United-States, >50K
34, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
26, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,15, El-Salvador, >50K
47, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
38, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,25949,0,29, United-States, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,15, United-States, <=50K
77, Private, Assoc-voc, Widowed, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
60, State-gov, HS-grad, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Scotland, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
34, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,1902,60, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,54, United-States, >50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, United-States, >50K
26, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,48, United-States, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, >50K
22, Local-gov, HS-grad, Separated, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
20, Private, 11th, Separated, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Vietnam, <=50K
22, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Mexico, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
18, Private, 10th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, Doctorate, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,50, United-States, >50K
61, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,36, United-States, <=50K
35, Private, Some-college, Married-spouse-absent, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
34, Private, 1st-4th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Honduras, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,0,1854,35, Yugoslavia, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
56, Private, HS-grad, Separated, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, Prof-school, Never-married, Tech-support, Not-in-family, White, Female,0,1600,40, United-States, >50K
31, Private, Bachelors, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
32, Federal-gov, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Separated, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,29, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
36, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
56, Private, Bachelors, Divorced, Exec-managerial, Wife, Black, Female,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
42, Private, Masters, Divorced, Tech-support, Unmarried, Black, Female,0,0,50, Portugal, <=50K
58, Private, Assoc-voc, Widowed, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,5701,0,42, United-States, >50K
31, Local-gov, Assoc-voc, Never-married, Tech-support, Unmarried, White, Female,0,1462,45, Guatemala, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,1977,35, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Tech-support, Other-relative, White, Female,0,0,40, Mexico, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,48, Italy, <=50K
33, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,45, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
50, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,70, India, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,72, United-States, <=50K
62, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,70, United-States, <=50K
28, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
43, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1978,54, Iran, >50K
44, Local-gov, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,15024,0,50, United-States, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1856,40, United-States, <=50K
33, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
44, State-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,7687,0,40, United-States, <=50K
55, State-gov, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Separated, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
37, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,32, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Some-college, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,38, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
21, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,16, United-States, <=50K
59, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,48, Hong, <=50K
32, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
33, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,20, United-States, <=50K
57, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
62, Local-gov, 7th-8th, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,32, United-States, <=50K
33, Private, HS-grad, Separated, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
48, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
59, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,29, United-States, <=50K
36, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,29, United-States, <=50K
67, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,22, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,29, United-States, <=50K
41, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Laos, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,48, United-States, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
38, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7773,0,40, United-States, <=50K
50, Local-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,7, United-States, <=50K
