26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
56, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
53, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,1887,40, Nicaragua, <=50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Laos, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, United-States, <=50K
34, Private, 5th-6th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Japan, <=50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Italy, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Black, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, Iran, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Married-spouse-absent, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Tech-support, Husband, Other, Female,0,0,40, United-States, >50K
69, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,15024,0,35, China, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Hungary, <=50K
28, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Germany, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
30, Private, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, Other, Male,4492,0,50, United-States, >50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,99999,0,50, Yugoslavia, >50K
27, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,60, Jamaica, <=50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,70, United-States, >50K
34, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Japan, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, India, <=50K
