26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Laos, >50K
52, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Female,0,1896,38, Germany, <=50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, France, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Female,0,0,40, France, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
50, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
25, Private, HS-grad, Never-married, Tech-support, Husband, Black, Female,0,0,40, Puerto-Rico, <=50K
70, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,27777,0,29, Canada, >50K
24, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,40, Trinadad&Tobago, <=50K
41, Private, Bachelors, Divorced, Tech-support, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,70, Columbia, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,5178,0,50, Outlying-US(Guam-USVI-etc), >50K
31, Private, Bachelors, Never-married, Prof-specialty, Husband, Black, Male,99999,0,50, Yugoslavia, >50K
26, Federal-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,54, El-Salvador, <=50K
40, Private, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Black, Female,0,0,70, Outlying-US(Guam-USVI-etc), <=50K
33, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Columbia, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, France, <=50K
