26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Jamaica, >50K
52, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,1902,38, France, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, England, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,4648,0,40, United-States, <=50K
34, Private, 5th-6th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, England, <=50K
28, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
21, Private, Masters, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, Ecuador, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
26, Private, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
71, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,27762,0,35, Cambodia, >50K
24, Private, Masters, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
28, Private, Some-college, Married-spouse-absent, Adm-clerical, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
41, Private, Bachelors, Divorced, Tech-support, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,70, Columbia, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
30, Private, Assoc-voc, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,5078,0,50, Mexico, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,99999,0,50, Yugoslavia, >50K
27, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,54, El-Salvador, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Black, Female,0,0,70, Mexico, <=50K
34, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Columbia, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, England, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Greece, >50K
25, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
67, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,15, Canada, >50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,50, United-States, <=50K
38, Local-gov, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,30904,0,29, Trinadad&Tobago, >50K
47, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, England, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,15, Haiti, <=50K
78, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,20, Honduras, <=50K
60, State-gov, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Philippines, <=50K
31, Local-gov, Bachelors, Never-married, Craft-repair, Own-child, Other, Male,0,1887,60, Nicaragua, <=50K
29, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,35, Nicaragua, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,54, Germany, <=50K
25, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
51, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,7687,0,40, Scotland, >50K
26, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,48, France, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,7687,0,45, India, >50K
