25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
56, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, Japan, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,1977,35, France, <=50K
48, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, England, <=50K
29, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,7625,0,40, United-States, >50K
31, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, England, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, El-Salvador, <=50K
26, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,20, Ecuador, <=50K
53, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
50, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
25, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Poland, >50K
70, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,99999,0,35, Canada, >50K
24, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Taiwan, <=50K
39, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Columbia, >50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,3350,0,50, Nicaragua, >50K
33, Private, Bachelors, Separated, Exec-managerial, Husband, Black, Male,99999,0,50, Yugoslavia, >50K
26, Federal-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,54, El-Salvador, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,70, Nicaragua, >50K
31, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Columbia, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, France, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Own-child, Other, Male,0,0,40, Ecuador, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Guatemala, <=50K
24, Private, HS-grad, Widowed, Adm-clerical, Other-relative, Black, Female,0,0,40, Canada, <=50K
67, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,15, Canada, >50K
45, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
28, Private, Prof-school, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,76172,0,35, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, England, <=50K
65, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,15, Honduras, <=50K
76, Self-emp-inc, Assoc-acdm, Separated, Prof-specialty, Husband, White, Male,0,0,20, Honduras, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
24, Self-emp-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Portugal, <=50K
28, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,1898,60, Outlying-US(Guam-USVI-etc), >50K
28, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Greece, >50K
24, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Philippines, <=50K
50, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Other, Male,13110,0,40, Taiwan, >50K
25, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, Germany, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,9843,0,44, Iran, >50K
21, Local-gov, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
19, Private, 5th-6th, Separated, Other-service, Wife, Other, Male,0,0,32, Nicaragua, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, India, <=50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Black, Female,0,0,20, Yugoslavia, <=50K
21, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Dominican-Republic, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,45, El-Salvador, <=50K
41, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Italy, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Portugal, <=50K
20, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
18, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,50, Nicaragua, >50K
61, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,36, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, El-Salvador, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,65, Canada, >50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,1858,35, Yugoslavia, >50K
20, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,8, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Hong, >50K
29, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Trinadad&Tobago, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, Nicaragua, <=50K
29, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Italy, <=50K
45, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,29, Germany, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Greece, <=50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
38, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
25, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
56, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Nicaragua, <=50K
19, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,40, El-Salvador, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,10, United-States, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, <=50K
57, Private, Bachelors, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,24, Guatemala, <=50K
26, Private, 12th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,7298,0,40, United-States, >50K
29, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,1902,45, China, <=50K
35, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,1897,35, Ecuador, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,60, Hungary, <=50K
48, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Japan, >50K
28, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
