25, Private, Bachelors, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,30, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, <=50K
69, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Separated, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,4778,0,45, India, >50K
26, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, Black, Male,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, Philippines, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1671,30, United-States, >50K
46, Private, Doctorate, Separated, Exec-managerial, Not-in-family, White, Male,0,0,52, United-States, <=50K
34, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
35, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,16, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Female,0,0,34, Germany, <=50K
67, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Italy, >50K
39, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Local-gov, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
61, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
38, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,35, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,1, United-States, <=50K
46, Local-gov, Assoc-voc, Separated, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, <=50K
60, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
41, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,99999,0,40, United-States, >50K
47, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,60, United-States, <=50K
42, Private, HS-grad, Divorced, Priv-house-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
49, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,3398,0,40, United-States, <=50K
58, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
44, Self-emp-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States, >50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,7687,0,42, United-States, >50K
59, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
76, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Mexico, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, >50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Divorced, Prof-specialty, Wife, White, Male,0,0,30, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,50, United-States, >50K
32, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
53, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
23, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1866,40, United-States, >50K
35, Private, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
39, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,37, United-States, <=50K
37, Private, Doctorate, Never-married, Tech-support, Wife, White, Male,0,0,38, United-States, <=50K
40, Private, Bachelors, Separated, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2014,40, Portugal, <=50K
37, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,35, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Black, Female,0,0,8, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Thailand, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,3898,0,54, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
49, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4386,0,44, United-States, >50K
46, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
47, Private, Doctorate, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Some-college, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1826,3, United-States, >50K
48, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, >50K
45, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, >50K
26, Local-gov, 5th-6th, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,32, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, >50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
33, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Without-pay, Some-college, Never-married, Sales, Husband, White, Male,0,2397,40, United-States, <=50K
48, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,44, United-States, <=50K
49, Private, HS-grad, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,16, United-States, <=50K
59, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,48, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
43, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,38, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Assoc-voc, Separated, Handlers-cleaners, Own-child, Black, Female,2877,0,40, United-States, <=50K
34, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
