25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,30, Iran, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
21, Private, 11th, Never-married, Protective-serv, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, Ecuador, <=50K
70, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
55, Local-gov, HS-grad, Widowed, Craft-repair, Unmarried, Black, Male,0,0,40, Scotland, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Ireland, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,4417,0,45, Cambodia, <=50K
26, Private, Masters, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, Philippines, <=50K
27, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
54, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,30, Columbia, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Own-child, Other, Male,0,0,20, Yugoslavia, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,1694,25, Japan, >50K
46, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,52, Yugoslavia, <=50K
35, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
