25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, <=50K
70, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,50, Vietnam, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,4466,0,45, India, >50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, Puerto-Rico, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
53, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,1902,30, United-States, >50K
46, Private, Bachelors, Widowed, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
