25, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, Mexico, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Jamaica, <=50K
71, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,50, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Iran, <=50K
56, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,3241,0,45, Columbia, <=50K
26, Private, Masters, Never-married, Sales, Own-child, Black, Male,0,0,40, Hong, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, France, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,20, Vietnam, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,1671,30, United-States, >50K
46, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male,0,0,50, Vietnam, <=50K
35, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Italy, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,54, England, <=50K
35, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Mexico, <=50K
47, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,16, Iran, <=50K
61, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
53, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Other, Female,0,0,30, Columbia, <=50K
68, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
40, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, Black, Male,0,0,40, Yugoslavia, <=50K
28, Private, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,43, Laos, >50K
38, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, State-gov, HS-grad, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,35, Jamaica, <=50K
57, Private, Doctorate, Never-married, Farming-fishing, Wife, Other, Female,0,0,40, India, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,1, United-States, <=50K
47, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, >50K
60, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Nicaragua, <=50K
43, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,99999,0,40, United-States, >50K
48, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,60, United-States, <=50K
43, Private, HS-grad, Divorced, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, <=50K
22, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Honduras, >50K
54, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Ireland, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,25, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,2175,0,40, United-States, <=50K
59, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, <=50K
