25, Private, Bachelors, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,25, Mexico, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Germany, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,20, France, <=50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,50, England, <=50K
72, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,48, Yugoslavia, <=50K
31, Private, HS-grad, Separated, Craft-repair, Own-child, Black, Female,0,0,40, El-Salvador, <=50K
56, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, Mexico, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, Puerto-Rico, >50K
31, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,5178,0,42, Canada, >50K
27, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
17, Private, 12th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,40, Vietnam, <=50K
56, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,25, Cuba, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,20, Yugoslavia, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1671,29, Peru, >50K
46, Private, Bachelors, Widowed, Craft-repair, Husband, Black, Male,0,0,50, Yugoslavia, <=50K
36, Federal-gov, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, England, <=50K
30, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
