19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,74, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,3104,0,20, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
45, Local-gov, Masters, Never-married, Exec-managerial, Husband, White, Male,0,1977,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,45, United-States, >50K
29, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,24, France, <=50K
40, Self-emp-not-inc, Masters, Divorced, Sales, Other-relative, Black, Male,0,0,30, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,2685,0,40, United-States, >50K
47, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,45, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
41, Private, HS-grad, Widowed, Adm-clerical, Husband, White, Female,0,0,45, Germany, <=50K
