19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
37, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,73, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,4089,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
52, Private, 7th-8th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Vietnam, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
45, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
22, Private, 12th, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, Germany, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Poland, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,3462,0,40, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Puerto-Rico, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
30, Private, Assoc-voc, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, >50K
41, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, Hong, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Italy, >50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
32, Local-gov, Some-college, Never-married, Tech-support, Not-in-family, Black, Female,0,0,45, United-States, <=50K
48, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
71, Local-gov, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,10, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,74, United-States, <=50K
40, State-gov, Masters, Separated, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, United-States, >50K
52, Local-gov, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
