19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,74, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,4650,0,20, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
53, Private, 7th-8th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
22, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
65, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,48, United-States, >50K
30, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,25, Germany, <=50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, United-States, <=50K
48, Private, Some-college, Divorced, Craft-repair, Husband, White, Female,3532,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
31, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, >50K
41, Private, Bachelors, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, India, <=50K
