19, Private, Some-college, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,24, Dominican-Republic, <=50K
37, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Ireland, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, England, >50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,4400,0,20, El-Salvador, <=50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
52, Private, 9th, Divorced, Other-service, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Yugoslavia, >50K
40, Private, Masters, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
46, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Taiwan, >50K
22, Private, 9th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, South, <=50K
64, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
25, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,47, Nicaragua, >50K
29, Private, Some-college, Separated, Other-service, Unmarried, Black, Female,0,0,25, Canada, <=50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Cuba, <=50K
48, Self-emp-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,3900,0,40, Portugal, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Vietnam, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Yugoslavia, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
23, Private, Bachelors, Separated, Handlers-cleaners, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Japan, >50K
29, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, China, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, El-Salvador, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Dominican-Republic, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, Germany, >50K
42, Private, Bachelors, Widowed, Exec-managerial, Wife, White, Female,0,0,45, Cambodia, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Canada, >50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, Thailand, <=50K
32, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,45, Scotland, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,50, El-Salvador, <=50K
69, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,12, Guatemala, <=50K
40, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,74, Guatemala, <=50K
40, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,30, Ecuador, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, Dominican-Republic, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,47, Nicaragua, >50K
52, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Japan, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,40, Japan, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,46, France, >50K
56, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, >50K
49, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, Poland, >50K
43, Local-gov, Assoc-acdm, Divorced, Other-service, Own-child, White, Female,0,0,50, England, <=50K
57, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Hong, <=50K
28, Private, HS-grad, Separated, Machine-op-inspct, Own-child, Black, Female,0,0,40, Mexico, <=50K
22, Self-emp-not-inc, 11th, Never-married, Prof-specialty, Wife, White, Male,1332,0,4, Japan, <=50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,80, Honduras, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,30, Cuba, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Ecuador, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, India, <=50K
25, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, Masters, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Dominican-Republic, >50K
59, Private, 10th, Widowed, Sales, Unmarried, White, Female,0,0,40, Jamaica, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Jamaica, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
63, Private, 12th, Separated, Adm-clerical, Wife, White, Female,0,0,35, Ecuador, <=50K
54, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,37, Canada, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,48, Taiwan, >50K
