19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,76, Ireland, >50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, England, <=50K
39, Private, HS-grad, Divorced, Other-service, Own-child, Other, Male,4057,0,20, El-Salvador, <=50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
52, Private, 7th-8th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
40, Local-gov, Bachelors, Separated, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, >50K
45, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, South, >50K
22, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,37, Scotland, <=50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
25, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,48, Mexico, >50K
29, Private, Some-college, Never-married, Other-service, Unmarried, Other, Female,0,0,25, Canada, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, Cuba, <=50K
47, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,3474,0,40, Poland, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Vietnam, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Yugoslavia, <=50K
30, Private, Bachelors, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
36, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Jamaica, >50K
