19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Scotland, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,77, United-States, >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,4650,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
53, Private, 7th-8th, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Vietnam, >50K
41, Private, Masters, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
45, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
22, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
25, Private, Bachelors, Never-married, Tech-support, Husband, White, Male,0,0,48, United-States, >50K
30, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, Dominican-Republic, <=50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Mexico, <=50K
49, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,3778,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Hungary, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, >50K
41, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,45, El-Salvador, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, El-Salvador, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,34, United-States, <=50K
32, Local-gov, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,45, United-States, <=50K
48, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
70, Private, Some-college, Widowed, Farming-fishing, Not-in-family, White, Female,0,0,14, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,78, United-States, <=50K
41, State-gov, HS-grad, Separated, Other-service, Wife, Black, Male,0,0,32, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,25, Trinadad&Tobago, <=50K
41, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
53, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,48, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
44, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Wife, Other, Female,0,0,50, United-States, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
29, Local-gov, HS-grad, Separated, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private, 11th, Widowed, Prof-specialty, Wife, White, Male,813,0,3, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
23, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,0,0,30, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Puerto-Rico, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
35, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Portugal, >50K
59, Private, 10th, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
64, Private, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,38, England, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
41, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Private, Assoc-voc, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, >50K
50, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
80, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,20, United-States, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
48, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Portugal, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
31, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Peru, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
19, Private, Assoc-voc, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Guatemala, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, Poland, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1670,50, United-States, >50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,1996,10, Haiti, <=50K
59, Local-gov, Some-college, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Local-gov, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,45, Honduras, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
