19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Honduras, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,74, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Nicaragua, <=50K
39, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,3634,0,20, Mexico, <=50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
52, Private, 7th-8th, Divorced, Other-service, Unmarried, Other, Female,0,0,40, Ireland, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Yugoslavia, >50K
40, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Iran, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, United-States, >50K
22, Private, 12th, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,48, United-States, >50K
29, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, China, <=50K
40, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Guatemala, <=50K
48, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,3432,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Vietnam, <=50K
30, Private, Assoc-voc, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Italy, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, England, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, Mexico, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, India, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,54, Taiwan, >50K
41, Private, Bachelors, Widowed, Exec-managerial, Unmarried, White, Female,0,0,45, Columbia, <=50K
54, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
46, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Yugoslavia, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States, <=50K
32, Local-gov, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
47, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
69, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,12, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,76, Thailand, <=50K
40, State-gov, HS-grad, Separated, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,32, Jamaica, <=50K
19, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Female,0,0,27, Hungary, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
52, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,50, Poland, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
43, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,50, Peru, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Separated, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, 11th, Separated, Other-service, Wife, White, Male,3113,0,3, United-States, <=50K
43, Self-emp-not-inc, Doctorate, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
