19, Private, Some-college, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
37, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,78, Laos, >50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Germany, >50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,4164,0,20, France, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
52, Private, 7th-8th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, England, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, El-Salvador, <=50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
40, Private, Bachelors, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
45, Local-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1977,40, United-States, >50K
22, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,38, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Mexico, >50K
25, Private, Bachelors, Never-married, Tech-support, Not-in-family, Black, Female,0,0,50, Portugal, >50K
29, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,25, Canada, <=50K
40, Self-emp-inc, Some-college, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,30, Dominican-Republic, <=50K
48, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,3871,0,40, Trinadad&Tobago, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,45, Vietnam, <=50K
38, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Yugoslavia, <=50K
30, Private, Assoc-voc, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
31, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, >50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
29, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, France, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, Ecuador, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,55, Guatemala, >50K
41, Private, Bachelors, Widowed, Exec-managerial, Own-child, Black, Female,0,0,45, Canada, <=50K
55, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Canada, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
61, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,35, United-States, <=50K
32, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, England, <=50K
70, Private, Some-college, Widowed, Other-service, Not-in-family, Black, Female,0,0,13, Honduras, <=50K
40, Private, Bachelors, Divorced, Sales, Unmarried, White, Male,0,0,80, Hong, <=50K
40, State-gov, HS-grad, Never-married, Priv-house-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, England, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,30, Ecuador, <=50K
