19, Private, Masters, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, Jamaica, >50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, France, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Other, Male,3103,0,15, England, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
50, Private, 7th-8th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, England, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, <=50K
30, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, >50K
38, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Ecuador, <=50K
44, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, United-States, >50K
21, Private, 12th, Never-married, Other-service, Not-in-family, White, Female,0,0,32, Trinadad&Tobago, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
24, Private, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Philippines, >50K
28, Private, Some-college, Never-married, Other-service, Unmarried, Other, Female,0,0,20, Canada, <=50K
38, Self-emp-inc, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,872,0,40, Scotland, <=50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Vietnam, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Yugoslavia, <=50K
28, Private, Assoc-voc, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
30, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,48, Mexico, >50K
27, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Female,0,0,48, United-States, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,16, England, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, Ecuador, >50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Greece, <=50K
39, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Canada, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
45, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,27, United-States, <=50K
30, Local-gov, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,48, England, <=50K
68, Private, Some-college, Separated, Other-service, Not-in-family, Black, Female,0,0,10, Haiti, <=50K
37, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,70, Honduras, <=50K
38, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,27, El-Salvador, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
39, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Philippines, >50K
50, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Nicaragua, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, Nicaragua, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,45, Germany, >50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, Scotland, >50K
41, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,48, France, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,48, India, <=50K
27, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
21, Private, Bachelors, Separated, Other-service, Wife, Other, Male,2664,0,1, Mexico, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,72, Hungary, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
21, Private, 7th-8th, Divorced, Craft-repair, Unmarried, Other, Male,0,0,25, Dominican-Republic, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,30, Ecuador, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Other, Female,0,0,30, Poland, <=50K
32, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
57, Private, 10th, Divorced, Sales, Unmarried, Other, Female,0,0,40, Laos, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,40, United-States, <=50K
61, Private, 11th, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,30, El-Salvador, <=50K
52, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
21, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
26, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Scotland, <=50K
23, Private, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Honduras, >50K
30, Private, Bachelors, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Taiwan, <=50K
27, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,16, Mexico, <=50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ireland, >50K
47, Private, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,25, Germany, <=50K
77, Private, 9th, Never-married, Prof-specialty, Husband, Other, Female,0,0,16, Greece, <=50K
43, Private, Masters, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
