19, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,73, Japan, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, France, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,4969,0,20, England, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
51, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, England, >50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
31, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Ecuador, <=50K
43, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,1977,40, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,36, United-States, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
25, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,45, Poland, >50K
29, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,25, Canada, <=50K
39, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Dominican-Republic, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,2623,0,40, Taiwan, >50K
47, Private, Bachelors, Divorced, Transport-moving, Other-relative, Other, Female,0,0,45, Vietnam, <=50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, Yugoslavia, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
23, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
31, Federal-gov, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Nicaragua, <=50K
28, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Columbia, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, France, <=50K
