20, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Dominican-Republic, <=50K
38, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,80, Iran, >50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, England, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,7298,0,23, El-Salvador, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
54, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
51, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
34, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
47, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,1976,40, Scotland, <=50K
23, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
66, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
26, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,50, Nicaragua, >50K
32, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,30, Cambodia, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,7687,0,40, Philippines, >50K
49, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,48, Vietnam, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Yugoslavia, >50K
32, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Jamaica, >50K
30, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, Trinadad&Tobago, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Female,0,0,24, El-Salvador, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Germany, <=50K
43, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,48, Cambodia, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
63, Private, Masters, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,35, Thailand, <=50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,47, Puerto-Rico, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, El-Salvador, <=50K
73, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,14, Guatemala, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,80, Guatemala, <=50K
43, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,33, Dominican-Republic, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,50, Nicaragua, >50K
54, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, >50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Japan, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, France, >50K
58, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Laos, <=50K
51, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,60, Poland, >50K
45, Federal-gov, 7th-8th, Divorced, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,50, England, >50K
59, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,50, Hong, <=50K
30, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
25, Self-emp-not-inc, 11th, Widowed, Prof-specialty, Wife, Black, Male,4061,0,8, Jamaica, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,87, Honduras, <=50K
43, Self-emp-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
