37, Private, Bachelors, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, Prof-school, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4039,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
79, Private, 10th, Widowed, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, 12th, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,8, United-States, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,7298,0,40, United-States, >50K
41, Federal-gov, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, >50K
18, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1886,40, United-States, >50K
50, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Germany, <=50K
50, State-gov, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
30, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Puerto-Rico, >50K
44, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,1789,40, United-States, <=50K
40, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,65, United-States, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,27, United-States, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
