38, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4064,0,40, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
80, Private, 10th, Widowed, Protective-serv, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,9, United-States, <=50K
27, Private, Doctorate, Never-married, Exec-managerial, Wife, White, Female,6870,0,40, United-States, >50K
41, Federal-gov, Masters, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
18, Private, 11th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1886,40, United-States, >50K
51, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Black, Female,0,0,50, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Italy, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
31, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Trinadad&Tobago, >50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Divorced, Other-service, Unmarried, Black, Female,0,1757,40, United-States, <=50K
40, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,65, United-States, <=50K
50, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,36, United-States, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, >50K
33, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
36, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,60, Nicaragua, >50K
26, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,10, United-States, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
41, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
52, State-gov, Doctorate, Never-married, Prof-specialty, Wife, Black, Male,0,0,35, United-States, <=50K
48, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Own-child, White, Male,0,0,65, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
59, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,60, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
