37, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, Ireland, >50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3439,0,40, England, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, El-Salvador, >50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
79, Private, 10th, Widowed, Sales, Not-in-family, White, Male,0,0,35, El-Salvador, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Ecuador, <=50K
20, Self-emp-not-inc, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,8, Yugoslavia, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Female,5178,0,40, Dominican-Republic, >50K
41, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, Taiwan, >50K
18, Private, 10th, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, South, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1886,40, Italy, >50K
50, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Canada, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, >50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Portugal, >50K
30, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Vietnam, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
34, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,1867,40, Japan, <=50K
40, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,63, Ecuador, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,35, Jamaica, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,25, El-Salvador, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Germany, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,60, Canada, >50K
25, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,50, Yugoslavia, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,24, Trinadad&Tobago, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Black, Male,0,0,10, Scotland, <=50K
28, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,60, El-Salvador, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Guatemala, <=50K
52, State-gov, HS-grad, Never-married, Prof-specialty, Wife, Black, Male,0,0,35, Ecuador, <=50K
