36, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,30, Iran, >50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,3325,0,40, England, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, El-Salvador, >50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
79, Private, 5th-6th, Widowed, Sales, Not-in-family, Black, Female,0,0,35, Ecuador, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Ecuador, <=50K
20, Private, 11th, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,0,0,8, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Female,4773,0,40, Dominican-Republic, >50K
40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, South, >50K
18, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Scotland, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1886,40, Ireland, >50K
49, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Nicaragua, >50K
31, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, Cambodia, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Poland, >50K
30, Private, Bachelors, Divorced, Tech-support, Own-child, Black, Female,0,0,40, Vietnam, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
44, Private, HS-grad, Divorced, Craft-repair, Unmarried, Other, Male,0,0,40, Yugoslavia, <=50K
34, Private, Assoc-voc, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,1849,40, Jamaica, <=50K
40, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,65, Ecuador, <=50K
49, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,35, Jamaica, <=50K
50, Self-emp-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, Trinadad&Tobago, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, >50K
32, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,25, El-Salvador, <=50K
29, Private, Bachelors, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,50, Germany, <=50K
34, Private, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,40, Cambodia, <=50K
35, Self-emp-inc, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
25, State-gov, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Other, Male,0,0,24, Taiwan, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Puerto-Rico, <=50K
28, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,60, El-Salvador, <=50K
41, Private, Some-college, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Guatemala, <=50K
52, State-gov, HS-grad, Separated, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
47, Private, HS-grad, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,65, Dominican-Republic, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Nicaragua, <=50K
