37, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Philippines, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, >50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4574,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
79, Private, 11th, Widowed, Protective-serv, Husband, White, Female,0,0,32, Trinadad&Tobago, <=50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
20, Private, 12th, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,8, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,7298,0,40, Puerto-Rico, >50K
41, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
18, Private, 10th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1902,40, United-States, >50K
50, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, Other, Female,0,0,50, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cuba, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
30, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Iran, >50K
44, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Other-service, Own-child, Black, Female,0,1719,40, United-States, <=50K
40, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,65, Taiwan, <=50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,40, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,25, Scotland, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, England, >50K
25, State-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Female,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,10, United-States, <=50K
28, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
41, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
52, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,35, Puerto-Rico, <=50K
48, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,65, Portugal, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
58, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,60, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,60, United-States, >50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, 5th-6th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
23, Local-gov, 11th, Never-married, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
38, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Never-married, Other-service, Husband, Black, Male,0,0,40, United-States, >50K
43, Private, Assoc-voc, Widowed, Other-service, Unmarried, White, Male,0,1485,45, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,42, United-States, <=50K
