37, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,30, Jamaica, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,4408,0,40, France, <=50K
42, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, England, >50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
79, Private, 5th-6th, Widowed, Sales, Not-in-family, Black, Female,0,0,35, England, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, <=50K
20, Private, 11th, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,8, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Unmarried, Black, Female,7298,0,40, Ecuador, >50K
40, Local-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, Trinadad&Tobago, >50K
18, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1886,40, Jamaica, >50K
50, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Philippines, >50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Canada, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Scotland, >50K
30, Private, Bachelors, Divorced, Tech-support, Not-in-family, Other, Female,0,0,40, Vietnam, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Yugoslavia, <=50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,1738,40, Mexico, <=50K
40, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,65, El-Salvador, <=50K
49, Private, Masters, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,35, Laos, <=50K
