21, Private, HS-grad, Married-spouse-absent, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,24, Dominican-Republic, <=50K
35, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,54, England, <=50K
48, Private, HS-grad, Divorced, Other-service, Husband, Other, Male,0,0,40, El-Salvador, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, United-States, >50K
37, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,50, El-Salvador, >50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
26, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,35, Yugoslavia, <=50K
60, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
31, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
31, Private, 7th-8th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, Ireland, >50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,1878,40, Nicaragua, >50K
17, Private, 12th, Never-married, Other-service, Own-child, Other, Female,0,0,20, Cambodia, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
38, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,25, Vietnam, <=50K
30, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,16, Columbia, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Yugoslavia, >50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Jamaica, >50K
18, Private, 12th, Never-married, Other-service, Other-relative, Black, Female,0,0,8, Yugoslavia, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,15, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Black, Female,0,0,40, Jamaica, <=50K
29, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
30, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,1887,40, China, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
41, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
32, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,36, Canada, >50K
36, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,38, Taiwan, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
47, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,35, El-Salvador, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,4075,0,50, Guatemala, >50K
43, State-gov, HS-grad, Married-spouse-absent, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
