21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,30, Hungary, <=50K
35, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, Peru, <=50K
47, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Japan, <=50K
48, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
36, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Japan, <=50K
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Ireland, <=50K
26, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
60, Private, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
31, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, United-States, <=50K
37, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,1847,40, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Cuba, <=50K
33, Self-emp-inc, Masters, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Honduras, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,30, United-States, <=50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,20, Germany, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Vietnam, <=50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,56, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, Vietnam, <=50K
50, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,15, Italy, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, England, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
