21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,25, Greece, <=50K
35, Private, HS-grad, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,54, Iran, <=50K
47, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Hong, <=50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
36, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Hong, >50K
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Haiti, <=50K
26, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Male,0,0,38, Yugoslavia, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Guatemala, <=50K
31, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
31, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, United-States, >50K
36, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,1601,40, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, China, <=50K
33, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
30, Self-emp-inc, Bachelors, Married-spouse-absent, Handlers-cleaners, Own-child, White, Male,0,0,17, Ecuador, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,54, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Yugoslavia, <=50K
49, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,15, Haiti, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Doctorate, Divorced, Craft-repair, Not-in-family, White, Female,0,1449,40, Dominican-Republic, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Hong, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, >50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Japan, >50K
32, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Female,0,0,40, China, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,36, China, <=50K
35, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
36, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,35, Honduras, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3476,0,50, Nicaragua, >50K
43, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Holand-Netherlands, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,30, Guatemala, <=50K
51, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,17, United-States, <=50K
43, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Jamaica, >50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
30, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,40, India, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,45, Taiwan, <=50K
29, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Own-child, White, Male,0,0,70, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,12, Puerto-Rico, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, France, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,30, Haiti, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Other, Female,0,0,45, United-States, <=50K
65, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,3103,0,40, United-States, <=50K
23, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, >50K
63, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
29, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,27596,0,60, United-States, >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,8, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
22, Private, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, Haiti, <=50K
43, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,35, Columbia, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
65, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,20136,0,1, Japan, >50K
18, Private, Masters, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
53, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,60, United-States, <=50K
42, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1902,54, United-States, >50K
52, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2405,40, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Italy, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, Jamaica, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,48, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
25, Private, 11th, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, England, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,39, United-States, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,30, Haiti, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Male,0,0,40, Germany, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Japan, <=50K
39, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,20, United-States, >50K
59, Local-gov, 9th, Never-married, Tech-support, Unmarried, Black, Female,0,0,35, Columbia, <=50K
32, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,50, Greece, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, United-States, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
