21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Laos, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,54, Germany, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, France, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
37, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, France, >50K
39, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, El-Salvador, <=50K
26, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,38, Yugoslavia, <=50K
60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
32, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
31, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,70, Laos, <=50K
38, Self-emp-not-inc, Bachelors, Never-married, Sales, Husband, Black, Female,0,1859,40, Portugal, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Canada, <=50K
34, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
39, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,26, Vietnam, <=50K
31, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,17, Columbia, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
