56, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 12th, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Divorced, Adm-clerical, Wife, White, Female,4734,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,46, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,20, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,52, Iran, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, United-States, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,42, United-States, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
39, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
47, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Other, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,10, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
