56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
38, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Ireland, >50K
18, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, England, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, El-Salvador, >50K
31, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
61, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, El-Salvador, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, <=50K
25, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Female,4914,0,40, Yugoslavia, <=50K
45, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Dominican-Republic, >50K
29, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
34, Private, 12th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, South, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,46, Italy, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,20, Nicaragua, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, Canada, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Dominican-Republic, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, Poland, >50K
30, Private, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,43, Vietnam, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,35, Columbia, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Male,0,0,54, Yugoslavia, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Japan, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Ecuador, <=50K
39, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Own-child, Black, Male,0,0,40, Jamaica, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, China, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, El-Salvador, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Black, Male,0,0,10, Ecuador, <=50K
48, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,60, Germany, <=50K
49, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Canada, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,24, Canada, <=50K
65, State-gov, Some-college, Widowed, Craft-repair, Other-relative, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Other-relative, White, Male,0,0,30, Trinadad&Tobago, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, El-Salvador, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,48, Guatemala, <=50K
62, Private, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, Guatemala, <=50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Dominican-Republic, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Nicaragua, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, >50K
35, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Japan, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, France, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Poland, >50K
50, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Wife, White, Male,0,0,45, England, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Hungary, >50K
48, Federal-gov, Masters, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,0,0,20, Nicaragua, >50K
38, Self-emp-inc, Bachelors, Married-spouse-absent, Prof-specialty, Wife, White, Male,0,0,40, Japan, >50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, Honduras, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,19, Yugoslavia, <=50K
20, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,30, Cuba, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, Ecuador, <=50K
55, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,35, India, <=50K
45, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Cuba, <=50K
20, Private, 10th, Never-married, Transport-moving, Own-child, White, Male,0,0,70, Jamaica, <=50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,15, Jamaica, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,25, Taiwan, <=50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Thailand, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Ecuador, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,5089,0,60, Canada, >50K
37, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,871,0,35, Yugoslavia, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
28, Private, Some-college, Separated, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,21, Greece, <=50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Poland, >50K
