55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Ireland, >50K
18, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Female,0,0,20, England, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, El-Salvador, >50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
60, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,48, El-Salvador, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,5013,0,40, Yugoslavia, <=50K
44, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
29, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
33, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Scotland, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Mexico, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,52, Cambodia, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,48, Poland, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,43, Vietnam, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,35, Columbia, >50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,54, Yugoslavia, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Japan, >50K
48, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
25, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
39, Private, Masters, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Female,0,0,50, Trinadad&Tobago, <=50K
37, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, China, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, El-Salvador, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Male,0,0,9, Dominican-Republic, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,60, Germany, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Canada, <=50K
33, Private, Some-college, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Male,0,0,24, Canada, >50K
64, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,30, Thailand, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Male,0,0,15, El-Salvador, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Guatemala, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Other, Male,0,0,35, Guatemala, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,48, Dominican-Republic, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Nicaragua, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, >50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,40, Japan, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, France, <=50K
31, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, Laos, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Poland, >50K
49, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,45, England, >50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,50, Hong, >50K
47, Federal-gov, Masters, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, Mexico, >50K
38, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Wife, Other, Male,0,0,40, Japan, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7687,0,40, Honduras, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,16, Yugoslavia, <=50K
20, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,30, Cuba, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,50, Ecuador, <=50K
54, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,35, India, >50K
45, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Nicaragua, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
20, Private, 10th, Never-married, Transport-moving, Own-child, Other, Female,0,0,70, Jamaica, <=50K
66, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,12, Jamaica, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, South, >50K
