54, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Iran, >50K
18, Private, 12th, Never-married, Craft-repair, Own-child, Other, Female,0,0,20, England, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,14711,0,40, El-Salvador, >50K
30, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Male,0,0,40, Trinadad&Tobago, <=50K
59, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, El-Salvador, >50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Ecuador, <=50K
24, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,4009,0,40, Yugoslavia, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
32, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, >50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Nicaragua, >50K
30, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,52, Canada, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,48, Poland, >50K
29, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,42, Vietnam, <=50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Columbia, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,54, Yugoslavia, <=50K
23, Private, Assoc-acdm, Never-married, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
47, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
31, Private, Some-college, Divorced, Sales, Other-relative, White, Female,0,0,50, Trinadad&Tobago, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, China, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, El-Salvador, <=50K
17, Private, 10th, Married-civ-spouse, Sales, Own-child, Black, Female,0,0,10, Dominican-Republic, >50K
46, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,60, Germany, <=50K
47, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, Canada, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,21, Canada, <=50K
63, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Thailand, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,15, El-Salvador, <=50K
35, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Greece, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,35, Guatemala, <=50K
18, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,48, Dominican-Republic, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Nicaragua, <=50K
39, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Japan, >50K
33, Private, Bachelors, Never-married, Other-service, Unmarried, Other, Female,0,0,40, Japan, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, France, >50K
30, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Laos, <=50K
48, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Poland, >50K
48, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
35, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,50, Hong, >50K
46, Local-gov, Bachelors, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,20, Mexico, >50K
37, Self-emp-inc, Bachelors, Separated, Prof-specialty, Wife, Black, Male,0,0,40, Japan, >50K
