56, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
38, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Ireland, >50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, England, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, El-Salvador, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, 1st-4th, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,48, El-Salvador, >50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Male,5013,0,40, Yugoslavia, <=50K
44, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
33, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,46, Ireland, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,20, Nicaragua, >50K
31, Private, Some-college, Never-married, Priv-house-serv, Husband, White, Female,0,0,52, Cambodia, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Cuba, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, Poland, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,42, Vietnam, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,35, Columbia, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,54, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, Other, Female,0,0,40, Japan, <=50K
47, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,2175,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,50, Ecuador, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Jamaica, <=50K
32, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,10, Ecuador, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Germany, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, Canada, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,24, Canada, >50K
64, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Thailand, <=50K
33, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, El-Salvador, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, Guatemala, <=50K
62, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Guatemala, <=50K
18, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,20, El-Salvador, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,48, Dominican-Republic, <=50K
25, Private, Prof-school, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Nicaragua, <=50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Japan, >50K
34, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, France, >50K
31, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Poland, >50K
49, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,45, England, >50K
