56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Hong, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
18, Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, Nicaragua, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Japan, >50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,48, Japan, <=50K
45, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Ireland, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Other, Male,4808,0,40, Yugoslavia, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, 12th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,52, Columbia, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, Hong, <=50K
51, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,48, United-States, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,43, United-States, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, France, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,54, Vietnam, <=50K
23, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, >50K
49, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Other, Male,0,0,40, Vietnam, <=50K
25, Local-gov, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,50, Italy, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, England, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Laos, <=50K
